wav,speaker,block,tag,label,artic,rate,nas,voice,mic
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0006.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10006,STICK,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0007.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10007,TEAR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0008.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10008,EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0009.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10009,PAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0010.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10010,UP,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0011.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10011,MEAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0012.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10012,MEAT,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0013.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10013,KNOW,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0014.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10014,HE SLOWLY TAKES A SHORT WALK IN THE OPEN AIR EACH DAY,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0015.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10015,AIR,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0016.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10016,SWARM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0017.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10017,DOUBLE,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0018.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10018,NO,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0019.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10019,STORM,G2,G1,G2,G2,Session1
/fastdata/acq22mc/data/dysarthria/Torgo_use/F01/Session1/wav_arrayMic/0020.wav,TORGO_F01,block,fastdataacr22wlTorgo_useF01Session10020,USUALLY MINUS SEVERAL BUTTONS,G2,G1,G2,G2,Session1
